Time,COAL_PROD,OIL_PROD,NG_PROD,GDP_PC,COAL_P,OIL_P,NG_P,COAL_CSP,OIL_CSP,NG_CSP
1918,615263000,355928,721000,732,2.58,1.98,7.5,615237175,388763,721000
1919,502537000,378367,746000,753,2.49,2.01,7.6,502513004,425170,746000
1920,596168000,442929,812000,838,3.75,3.07,8,596125356,540347,812000
1921,459394000,472183,674000,685,2.89,1.73,8.2,459367459,588607,674000
1922,432683000,557531,776000,674,3.02,1.61,8.3,432673232,674676,776000
1923,596841000,732407,1025000,770,2.68,1.34,8.5,596816638,797037,1025000
1924,518560000,713940,1162000,769,2.2,1.43,9,518539417,773476,1162000
1925,524863000,620373,1210000,790,2.04,1.68,9.4,524843344,668860,1210000
1926,596750000,770874,1336000,834,2.06,1.88,8.8,596711998,815849,1336000
1927,542369000,901129,1471000,810,1.99,1.3,8.2,542348331,943734,1471000
1928,522623000,901474,1596000,816,1.86,1.17,8,522604432,962275,1596000
1929,552310000,1007323,1952000,858,1.78,1.27,8.2,552290147,1059855,1950232
1930,487078000,898011,1978911,748,1.7,1.19,7.5,487060487,936435,1976724
1931,400735000,851081,1721902,623,1.54,0.65,7,400721940,872796,1720247
1932,326192000,785159,1593798,476,1.31,0.87,6.2,326182677,802448,1591723
1933,347608000,905656,1596673,455,1.34,0.67,6.2,347598581,900965,1590940
1934,377875000,908065,1815796,528,1.75,1,6,377863491,902396,1809102
1935,385129000,993942,1968963,583,1.77,0.97,5.8,385118422,974803,1961679
1936,447848000,1098513,2225477,662,1.76,1.09,5.5,447836554,1080656,2220898
1937,451222000,1277653,2473483,721,1.94,1.18,5.1,451207595,1237851,2472018
1938,358015000,1213254,2358201,672,1.95,1.13,4.9,358003205,1162393,2355210
1939,404914000,1264256,2538383,714,1.84,1.02,4.9,404900473,1225278,2532820
1940,464711000,1503176,2733819,779,1.91,1.02,4.5,464692373,1507497,2726353
1941,517564000,1404182,2893525,970,2.19,1.14,4.9,517540345,1421550,2884823
1942,583339000,1385479,3145694,1231,2.36,1.19,5.1,583312256,1363942,3134484
1943,590415000,1505613,3515531,1485,2.69,1.2,5.2,590385949,1478104,3500955
1944,620059000,1677904,3815024,1623,2.92,1.21,5.1,620029428,1688481,3796817
1945,573840000,1713655,4042002,1631,3.06,1.22,4.9,573808920,1754994,4024327
1946,539257000,1733424,4152762,1611,3.44,1.41,5.3,539209751,1778740,4134613
1947,623975000,1856987,4582173,1734,4.16,1.93,6,623898123,1908164,4563469
1948,595711000,2020185,5148020,1874,4.99,2.6,6.5,595658686,2109542,5127966
1949,435966000,1841940,5419736,1829,4.9,2.54,6.3,435933530,1962557,5394009
1950,508375000,1973574,6282060,1979,4.86,2.51,6.5,508346005,2116465,6257897
1951,522843000,2247711,7457359,2251,4.94,2.53,7.3,522780641,2398180,7437710
1952,460327000,2289836,8013457,2343,4.92,2.53,7.8,460275056,2472731,7994360
1953,442923000,2357082,8396916,2442,4.94,2.68,9.2,442886774,2573606,8375037
1954,381734000,2314988,8742546,2408,4.54,2.78,10.1,381700313,2540868,8722405
1955,445281000,2484428,9405351,2579,4.51,2.77,10.4,445226908,2758278,9379768
1956,480603000,2617283,10081923,2676,4.83,2.79,10.8,480529559,2930492,10078209
1957,469960000,2616901,10680258,2773,5.09,3.09,11.3,469879590,2939913,10777336
1958,328556000,2448987,11030248,2768,4.87,3.01,11.9,328503738,2792648,11145825
1959,392518000,2574590,12046115,2950,4.79,2.9,12.9,392479337,2924408,12190429
1960,394017000,2574933,12771038,3006,4.71,2.88,14,393979280,2943421,12979151
1961,381398000,2621758,13254025,3066,4.6,2.89,15.1,381361760,3000079,13639745
1962,398293000,2676189,13876622,3243,4.5,2.9,15.5,398253025,3085438,14265869
1963,432905000,2752723,14746663,3373,4.4,2.89,15.8,432854837,3163685,15170386
1964,457386000,2786822,15546592,3573,4.46,2.88,15.4,457336749,3224102,15976854
1965,478024000,2848514,16039753,3827,4.45,2.86,15.6,477973152,3299457,16494894
1966,496069000,3027763,17206628,4145,4.56,2.88,15.7,496019110,3473406,17689240
1967,512452000,3215742,18171325,4336,4.64,2.92,16,512402104,3600850,18729465
1968,505035000,3329042,19322400,4695,4.7,2.94,16.4,504984069,3799563,19998047
1969,517983000,3371751,20698240,5031,5.02,3.09,16.7,517926248,3884429,21449207
1970,555797000,3517450,21920642,5246,6.3,3.18,17.1,555725339,3995752,22774978
1971,508857000,3453914,22493012,5623,7.13,3.39,18.2,508799807,4066828,23434495
1972,546572000,3455368,22531698,6109,7.78,3.39,18.6,546515307,4266316,23487432
1973,543010000,3360903,22647549,6740,8.71,3.89,21.6,542956540,4544202,23530045
1974,551204000,3202585,21600522,7241,16.01,6.87,30.4,551145419,4470666,22480855
1975,593900000,3056779,20108661,7820,19.79,7.67,44.5,593834631,4552814,21007719
1976,621100000,2976180,19952438,8609,20.11,8.19,58,621041182,4908251,20907815
1977,633400000,3009265,20025463,9469,20.59,8.57,79,633347335,5405337,20938476
1978,608000000,3178216,19974033,10585,22.64,9,90.5,607962239,5440314,21171743
1979,708600000,3121310,20471260,11693,27.31,12.64,117.8,708536017,5415144,21407296
1980,752700000,3146365,20179724,12570,29.17,21.59,159,752609452,4967592,21024301
1981,747300000,3128624,19955823,13960,31.51,31.77,198,747188502,4650161,20837431
1982,760300000,3156715,18582001,14405,32.15,28.52,246,760194465,4343650,19445769
1983,709500000,3170999,16884095,15525,31.11,26.19,259,709423499,4326276,17672402
1984,812800000,3249696,18304340,17093,30.63,25.88,266,812719803,4437412,19198787
1985,801600000,3274553,17270223,18225,30.78,24.09,251,801509272,4368337,17959401
1986,817700000,3168252,16858675,19071,28.84,12.51,194,817616694,4637025,17797187
1987,833600000,3047378,17432901,20055,28.19,15.4,167,833522140,4698336,18653075
1988,862600000,2979123,17918465,21434,27.66,12.58,169,862507111,4791415,19193114
1989,892200000,2778773,18095147,22870,27.4,15.86,169,892102036,4859851,19541841
1990,936900000,2684687,18593792,23901,27.43,20.03,171,936796895,4796421,20237861
1991,905900000,2707039,18532439,24352,27.49,16.54,164,905794421,4775186,20453661
1992,907700000,2624632,18711808,25452,26.78,15.99,174,907601287,4818500,20921740
1993,857600000,2499033,18981915,26428,26.15,14.25,204,857532790,4940429,21444016
1994,1033504293,2431476,19709525,27742,25.68,13.19,185,1033440518,4973528,22396454
1995,1032973772,2394268,19506474,28748,25.56,14.62,155,1032892426,4998569,22290494
1996,1063855513,2366017,19812241,30033,25.17,18.46,217,1063772166,5073645,22649408
1997,1089931788,2354831,19866093,31538,24.64,17.23,232,1089855730,5317822,22859144
1998,1117535167,2281919,19961348,32913,24.87,10.87,196,1117465843,5419401,23383438
1999,1100431428,2146732,19804848,34603,23.92,15.56,219,1100382041,5290364,23342735
2000,1073611561,2130707,20197511,36437,24.15,26.72,368,1073565585,5432171,23801172
2001,1127688806,2117511,20570295,37252,25.36,21.84,400,1127659927,5515019,24069525
2002,1094283061,2096588,19884780,38132,26.57,22.51,295,1094260335,5429467,23148607
2003,1071752573,2061995,19974360,39612,26.73,27.56,488,1071734603,5585153,23378780
2004,1112098870,1991404,19517491,41864,30.56,36.77,546,1112078152,5673684,23129924
2005,1131498099,1891200,18927095,44242,36.8,50.28,733,1131478617,5575552,22389418
2006,1162749659,1857035,19409674,46376,39.32,59.69,639,1162736258,5541117,23194802
2007,1146635345,1853122,20196346,47996,40.8,66.52,625,1146612529,5504520,23217184
2008,1171808669,1829897,21112053,48336,51.39,94.04,797,1171761358,5400127,23791056
2009,1074923392,1954021,21647936,46927,55.44,56.35,367,1074886934,5227711,24251904
2010,1084368148,1996787,22381873,48287,60.88,74.71,448,1084305785,5344445,24344916
2011,1094335567,2063138,24036352,49782,57.64,95.73,395,1094241396,5307402,25555313
2012,1016458000,2373703,25307949,51694,58.13,94.52,266,1016341414,5473365,26618713
,,,,,,,,983855247.2,5493106,26927167
